codigo_produto;produto;secao;custo_atual;preco_atual;ncm
00002637;ENCHIMENTO SILICONE P/ ALMOFADA 0.50/0.50 ARTESANATO MINEIRO;ENCHIMEMTO;7.30;16.50;55032090
00003205;CAPA ALMOFADA 0.45/0.45 TECIDO RIVIEIRA/VELUDO DIAMOND ADOME;CAPA;8.89;27.00;63041990
00003057;TOALHA ROSTO FIO PENTEADO LUMINA KARSTEN;TOALHAS AVULSA;18.44;36.00;63026000
00000363;JOGO DE CAMA CASAL 04 PCS SANTISTA ROYAL COTEMINAS;JOGO DE CAMA;81.65;154.00;63022100
00002677;TOALHA BANHO GIG FIO PENT 0.86/150 LUMINA  KARSTE;TOALHAS AVULSA;25.79;105.00;63026000
00002089;TOALHA ROSTO DANUBIO/ESCALA/BELLEZA TEKA;TOALHAS AVULSA;3.67;10.50;63026000
00000474;TOALHA BANHO TEKA DANUBIO/ESCALA;TOALHAS AVULSA;10.95;27.00;63026000
00000867;TOALHA BANHO YUNA KARSTEN;TOALHAS AVULSA;17.08;57.00;63026000
00000866;TOALHA ROSTO YUNA KARSTEN;TOALHAS AVULSA;8.07;27.00;63026000
00000270;TOALHA VISITA PONTO CRUZ CRIATIVA TEKA;TOALHAS AVULSA;3.12;7.50;63026000
00001384;COBRE LEITO SOLTEIRO 02 PÇS MICROFIBRA PROVENCE ROZAC/TAMIR;COBRE LEITO;58.74;135.00;94049000
00002407;SAIA BOX SOLTEIRO 1.88/0.88 BABADO COM TAMPAO SAVOIA SEJOS;SAIA PARA COLCHAO;29.35;69.00;63023900
00002247;VARAO CORTINA 2 MTS 19 MM CORES BELLA ARTE;CORTINA;6.81;39.00;73042990
00003332;CORTINA PRATIKA PONGEE SLIM/VIVERE/RUBI 1.80/2.00 BELLA JA;CORTINA;21.87;78.00;63039200
00005294;CAPA PARA TRAVESSEIRO MALHA LISO VEET ADULTO MAINART;TRAVESSEIROS;29.15;63.00;63041990
00003414;AGUA PERFUMADA PARA ROUPAS ESPUMARIA;DIVERSOS;38.70;89.00;33074900
00004199;TRAVESSEIRO 0.50/0.70 TOQUE DE PLUMA 233 FIOS BUDDEMEYER;TRAVESSEIROS;73.64;147.00;94049000
00001096;CAPA PROTETORA TRAVESSEIRO IMPER. FREE CENTRAL DO ALERGICO;CAPAS;27.93;54.00;63022100
00001008;CORTINA PRATIKA LISA CROMO 3.00/1.70 BELLA JANELA;CORTINA;83.17;174.00;63039200
00005433;TOALHA ROSTO 0.49/0.70 AZEVEDO/NARA KARSTEN;TOALHAS AVULSA;10.58;21.00;63026000
00002267;PANO DE PRATO AVULSO PONTO CRUZ C/FRANJA VERONA DOHLER;PANO DE PRATO;3.43;13.50;63026000
00001625;CORTINA PRATIKA LISA CROMO 4.20/ 2.50 BELLA JANELA;CORTINA;90.95;293.00;63039200
00003070;LENÇOL AVULSO SOLTEIRO 200 FIOS VIDA BELA KACYUMA;LENCOL AVULSO;47.58;114.00;62023100
00006100;TAPETE COZINHA 03 PCS SUBLIME LANCER;TAPETE;29.00;75.00;63014000
00001568;ROUPAO AVELUDADO ADULTO LISO E ESTAMPADO VELOUR DOHLER;ROUPAO;54.99;186.00;62089100
00005621;ROUPAO INFANTIL VELOUR  DOHLER;ROUPAO;30.00;108.00;62089100
00002924;TOALHA C/ CAPUZ BANHO/KING 1.00/0.75 CARINHAS COLIBRI;TOALHA;38.44;85.50;63026000
00001736;PIJAMA BABY 1,2,3 ,4 FEM/MASC.CAMISETA ML CALÇA SONHART;PIJAMAS;61.15;199.00;61083100
00001815;TOALHA C/ CAPUZ P/BORDA 0.70/0.90 VELOUR BABY CLASSIC DOHLER;TOALHAS AVULSA;15.42;54.00;63026000
00000875;CAMISOLA ADULTO REGATA/MANGA CURTA/ALCA SONHART;PIJAMAS;41.41;158.00;61083100
00004589;PROTETOR COLCHAO SOLTEIRO MICROFIBRA EMPERMEAVEL HEDRONS;PROTETOR DE COLCHAO;32.06;89.00;94049000
00002011;PORTA TRAVESSEIRO INNOVI 150 FIOS KACYUMARA;CAPAS;14.64;39.00;63023100
00001168;CACHEPOT DE CIMENTO C/SUCULENTA 7,5X9,5 CM WOLFF;DIVERSOS;7.57;19.50;94049000
00001634;JOGO DE CAMA SOLTEIRO 03 PÇS 200 FIOS  DOBRA FEITA BUDD KIDS;JOGO DE CAMA;81.06;171.00;63022100
00003474;TOALHA LAVABO VELOUR P/BORDA BELLA/ARTESANALLE PINTAR DOHLER;TOALHAS AVULSA;2.42;8.60;63026000
00005872;CORTINA BLACKOUT ANELIZA  3.00/2.60 VARAO 3 MTS DOHLER;CORTINA;216.09;519.00;63039200
00002240;VARAO CORTINA 3 MTS 28 MM CROMADO BELLA ARTE;CORTINA;20.44;89.00;76041021
00000850;TAPETE PELO BAIXO CLASSIC 1.33/1.90 OASIS;TAPETE;83.89;235.00;57024200
00002001;COBRE LEITO QUEEN 03 PÇS MICROFIBRA PROVENCE/CLASSIC ROZAC;COBRE LEITO;75.21;208.00;94049000
00002948;PORTA TRAVESSEIRO 200 FIOS VIDA BELA KACYUMARA;CAPAS;24.00;54.00;63023100
00002055;TAPETE NEW PREMIUM 2.00/2.50 FIBRA CURTA BUCHARA;TAPETE;272.30;792.00;57033000
00005019;CAMINHO DE MESA 0.40/1.80 TIRA BORDADA ARGIVAI;CAMINHO DE MESA;45.48;111.00;63025300
00000803;COBRE LEITO QUEEN 03 PÇS LOFT MICROMATEASE CAMESA;COBRE LEITO;65.46;228.00;94049000
00004196;COBRE LEITO KING 03 PÇS MICROFIBRA PATCHWORK CAMESA/ANDREZA;COBRE LEITO;89.40;228.00;94049000
00000345;CORTINA P/ COZINHA RENDA 1.20/2.00 VARAO 1.50 INTERLAR;CORTINA;18.08;45.00;63039200
00001122;COBRE LEITO SOLTEIRO 02 PÇ BOUTIS 50% ALGO. 50% POLIES COTEM;COBRE LEITO;136.49;276.00;94049000
00000080;LENCOL AVULSO SOLTEIRO FIX  TEKA;LENCOL AVULSO;10.70;30.00;63023100
00003157;TAPETE 1.00/1.50 PINHEIRO DIVERSOS;TAPETE;67.15;249.00;57024200
00000125;JOGO DE CAMA SOLT. 03 PCS 50 % POL. 50% ALG. DISNEY SANTISTA;JOGO DE CAMA;31.17;72.00;63022200
00001107;JOGO DE CAMA SOLTEIRO 80% ALG.20% POL.1.50/2.20 LICENC.LEPPE;JOGO DE CAMA;47.12;114.00;63022100
00006111;COBRE LEITO SOLTEIRO 02 PÇS DYURI ULTRASONIC JOLITEX;COBRE LEITO;30.00;90.00;94049000
00006127;PASSADEIRA NEW BOUCLE  M2 SAO CARLOS;TAPETE;91.93;227.00;57025020
00002897;TAPETE SAO CARLOS CLASSE A/SOFISTIK 1.50/2.00;TAPETE;244.54;786.00;57029200
00006094;TAPETE BRUNELLO/MALBEC/ZURICH 2.00/2.50 BUCHARA;TAPETE;780.00;1974.00;57024200
00006043;TAPETE LEGENDS 0.53/1.10 BUDDEMEYER;TAPETE;79.22;180.00;57039000
00004340;TAPETE 1.35/1.95 1.40/2.00 BELGA BUCHARA/ASIA TEX;TAPETE;141.00;312.00;57033000
00006044;TAPETE TIVOLI/LEGEND 0.50/0.80 BUDDEMEYER;TAPETE;54.41;129.00;57039000
00004338;TAPETE 0.67/1.05 0.60/1.00 BELGA BUCHARA/ASIA TEX;TAPETE;34.17;84.00;57033000
00005875;CORTINA BLACKOUT ANELIZA 2.00/1.80 VARAO 2 MTS DOHLER;CORTINA;117.52;279.00;63039200
00001510;TOALHA BANHO LISA SANTISTA ROYAL COTEMINAS;TOALHAS AVULSA;9.14;25.50;63026000
00005984;JOGO DE CAMA SOLTEIRO 03 PÇS HOME DESING SANTISTA COTEM;JOGO DE CAMA;51.14;105.00;63022100
00005077;TAPETE MALIBU 0.45/0.70 ALGODAO ROZAC;TAPETE;9.90;27.00;57019000
00004996;CAPA ALMOFADA 0.45/0.45 JACQUARD LISA/LISTRA/MEDALHAO ADOMES;CORTINA;9.00;19.50;63041990
00000069;JOGO DE CAMA CASAL 03 PCS MALHA IN COTTON ALTENBURG;JOGO DE CAMA;46.66;148.00;63021000
00000936;JOGO DE CAMA SOLTEIRO KING 02 PCS MALHA IN COTTON ALTENBURG;JOGO DE CAMA;55.50;138.00;63021000
00001830;JOGO DE CAMA CASAL 04 PÇS 180 FIOS UNIQUE SANTISTA COTEMINAS;JOGO DE CAMA;67.80;132.00;63023100
00002080;FRONHA AVULSA 180 FIOS TOTAL MIX ARTEX;FRONHA;8.32;21.00;63023100
00001438;CORTINA P/ COZINHA C/ RENDA VARAO 1.35/2.00 HEVELYH ADOMES;CORTINA;17.99;51.00;63031200
00003201;TRAVESSEIRO SONO & SAUDE 0.50/0.70 ALTENBURG;TRAVESSEIROS;22.80;84.00;94049000
00003831;PANO DE PRATO AVULSO CHEF 0.49/0.70 KARSTEN;PANO DE PRATO;11.16;21.00;63026000
00000130;TOALHA MESA 0.78/0.78 KARSTEN;TOALHA DE MESA;8.02;16.50;63025100
00002004;TAPETE 0.50/0.70 ALLURE/BABILONIA/TREVISO ANDREZA;TAPETE;25.41;99.00;57033000
00005362;TAPETE DE TEAR  0.45 X 0.70 ARTESANATO MINEIRO;TAPETE;9.90;33.00;58050090
00001812;PACOTE PANO PRATO TEKA FIORE C/06 UNIDADES;PANO DE PRATO;15.57;54.00;63026000
00000177;TOALHA ROSTO PROMOÇAO ARTEX/ KARSTEN/BUDEMEYER;TOALHAS AVULSA;8.50;27.00;63026000
00001282;TOALHA BANHAO REFINATTA/SOFISTICATA  DE´ LIMAS;TOALHAS AVULSA;10.25;36.00;63026000
00005432;TOALHA BANHO 0.67/1.35 AZEVEDO/KARSTEN;TOALHAS AVULSA;24.70;42.00;63026000
00003533;JOGO TAPETE DE TEAR 03 PÇS ARTESANATO MINEIRO;TAPETE;10.56;117.00;58050090
00004583;CORTINA PRATIKA 4.20/2.50 /2.70 BORDADA BELLA JANELA;CORTINA;131.54;399.00;63039200
00004206;FUNDO DE PRATO AMER. MANAUS NIAZIATEX/JOLITEX;PANO DE PRATO;4.79;18.00;46019900
00004476;PROTETOR COLCHAO QUEEN MICROFIBRA IMPERMEAVEL ALTENBURG;PROTETOR DE COLCHAO;51.01;105.00;94049000
00003890;CAPA ALMOFADA 0.45/0.45 LINHO/VERONA ADOMES;CAPA;11.88;24.00;63041990
00001326;TRAVESSEIRO SUPORTE EXTRA FIRME 50/070 180 FIOS ALTENBURG;TRAVESSEIROS;21.59;69.00;94049000
00002743;BODY MC/ML 100% ALGODAO SONHART;CONFECCOES;21.32;39.00;61072100
00001733;CULOTE LONGO MALHA SONHART;CONFECCÃO PARA BEBE;16.85;30.00;61112000
00002100;TOALHA BANHO 0.70/1.40 MEDALHAO FATEX/CORTEX;TOALHAS AVULSA;19.00;42.00;63026000
00003633;TAPETE RETANGULAR DUPLA FACE 0.50/0.70 KACYUMARA;TAPETE;43.93;98.00;57050000
00003598;TAPETE MADENA 0.50/0.80 BUCHARA;TAPETE;14.50;39.00;57050000
00003519;LENCOL AVULSO SOLTEIRO KING MALHA IN COTTON 1.10/2.03 ALTENB;LENCOL AVULSO;28.16;57.00;63021000
00001095;LENCOL AVULSO SOLTEIRO FIX KING SIZE MALHA ALT.35 VENESA;LENCOL AVULSO;29.17;87.00;63021000
00000248;TRAVESSEIRO PLUMI GOLD ALTENBURG;TRAVESSEIROS;66.63;139.00;94049000
00001162;TOALHA MESA 1.60/2.70 SEMPRE LIMPA KARSTEN;TOALHA DE MESA;87.88;177.00;63025300
00004625;TOALHA MESA 1.40/2.50 100 % ALGODAO KARSTEN;TOALHA DE MESA;38.94;78.00;63025100
00003757;TOALHA BANHO GIGANTE 0.90/1.50 HANNA/COMFORT TEKA;TOALHAS AVULSA;26.72;66.00;63026000
00004795;TOALHA ROSTO HANNA TEKA;TOALHAS AVULSA;4.64;18.00;63026000
00003111;TOALHA MESA 1.65/3.20 SEMPRE LIMPA KASTEN;TOALHA DE MESA;66.03;126.00;63025100
00000503;TOALHA MESA 1.60/3.20 CELEBRA SIENNA 63% ALG. 37%POL. KARSTE;TOALHA DE MESA;109.85;219.00;63025300
00000655;JOGO DE CAMA CASAL 04 PC 150 FIOS SANTISTA PRATA COTEMINAS;JOGO DE CAMA;51.47;198.00;63022100
00000098;CAMINHO DE MESA PONTO CRUZ 40/120 BOUTON;CAMINHO DE MESA;4.12;9.00;63080000
00003557;JOGO DE CAMA CASAL 04 PCS 200 FIOS SANTISTA PLATINUM COTEMIN;JOGO DE CAMA;83.47;186.00;63026000
00003559;JOGO DE CAMA KING  04 PCS 200 FIOS SANTISTA PLATINUM COTEMIN;JOGO DE CAMA;102.70;252.00;63022100
00001454;LENCOL AVULSO SOLTEIRO  FIX 180 FIOS PERCAL ARTEX;LENCOL AVULSO;27.38;66.00;63023100
00003495;TOALHA MESA 1.60/2.50 LIMPA FACIL CLEAN ATHENAS DOHLER;TOALHA DE MESA;22.95;87.00;63025100
00001492;PACOTE PANO PRATO TEKA LUXO CHEF/OLIVER C/06 UNIDADES;PANO DE PRATO;21.22;72.00;63026000
00000552;TRAVESSEIRO SUPORTE FIRME 50./070 180 FIOS ALTENBURG;TRAVESSEIROS;19.16;63.00;94049000
00001191;TRAVESSEIRO POLIESTER 0.50/0.70 PROMOCIONAL MORADA TEXTIL/TR;TRAVESSEIROS;13.50;27.00;94049000
00000149;PACOTE PANO PRATO TEKA PRIMORE C/06 UNIDADES;PANO DE PRATO;1.91;39.00;63026000
00001931;TOALHA BANHO 0.70/1.40 CANELADO BUDDEMEYER;TOALHAS AVULSA;37.14;78.00;63026000
00001926;TOALHA ROSTO 0.48/0.85 CANELADO BUDDEMEYER;TOALHAS AVULSA;17.90;36.00;63026000
00002947;TAPETE SAO CARLOS BALI/MALIBU  0.50/1.00;TAPETE;25.78;78.00;57029200
00002427;TAPETE 0.40/0.70 CAPACHO FENICE LISO BELLA CASA;TAPETE;20.19;57.00;57033000
00000076;FRONHA AVULSA LISA COLORE TEKA;FRONHA;3.75;7.80;63023100
00005888;JOGO DE CAMA CASAL 03 PÇS MALHA FIO 30 DELICATTO LA DOTTA;JOGO DE CAMA;23.70;54.00;63021000
00001041;JOGO DE TOALHA  05PCS DANDARA/THEMIS KARSTEN;JOGO DE TOALHAS;51.20;129.00;63026000
00006031;COLCHA QUEEN 03 PÇS ESTAMP. LICENCIADO 2.40/2.50 DOHLER;COLCHA;113.78;354.00;63041910
00000910;COLCHA SOLTEIRO AVELUDADA DISNEY LICENCIADOS JOLITEX;COLCHA;58.60;148.00;63014000
00000372;ROUPAO ADULTO PIQUE CRISTAL  BOUTON;ROUPAO;64.89;246.00;62089100
00003304;PEL BONECA DE PANO BONITA 690406-80 (610100380) FOFFY;PELUCIA;31.50;78.00;95030022
00000658;ROUPAO ATOALHADO ADULTO COM ZIPER P/M/G/GG SONHART;ROUPAO;86.48;258.00;61089900
00004925;JOGO DE BERCO 02 PÇS MALHA ESTAMPADA LEPPER KIDS;JOGO DE BERÇO;17.07;39.00;63021000
00003089;CAPA ALMOFADA 0.45/0.45 SUEDE MAXPLUS/COLORS/AMASSADO ADOMES;CAPA;10.70;24.00;63041990
00005676;ALMOFADA 0.55/0.55 VELFIT /LINHO ESTAMPADOKACYUMARA;CAPA;36.24;79.50;63022200
00004248;FUNDO DE PRATO AMER. 01 PÇ FIBRAS DE BAMBU 0.30/0.45 FATEX;DIVERSOS;2.61;9.90;44190000
00004439;FORRO DE BANDEJA 35X50 TIRA BORDADA ARGIVAI;CAMINHO DE MESA;14.06;33.00;63025300
00000638;CAPA PARA ESTOFADO ELANCA COM ELASTICO 3 E 2 LUGARES;CAPA;96.00;189.00;60063200
00002282;CAPA PARA COLCHAO CASAL ELANCA JULIANA/MORADA;CAPAS;24.00;57.00;63023900
00004575;CASACO BEBE PULLA BULLA;CONFECCOES;11.91;25.50;61112000
00000050;TOALHA VISITA PONTO CRUZ 0.25/0.36 CAPRI  DOHLER;TOALHAS AVULSA;2.07;4.50;63026000
00003691;PIJAMA FEM. ADULTO CALÇA M/LONGA MALWEE;CONFECCOES;49.47;204.00;61083100
00001588;PEL CACHORRO HUSKY BBL947L/BONECA C. JEANS G GOLFINHO FOFYY;PELUCIA;31.66;78.00;95030031
00005844;TOALHA BANHO BARRADO INFANTIL 0.67/1.35 KARSTEN;TOALHAS AVULSA;20.75;57.00;63026000
00003056;TOALHA BANHO FIO PENTEADO 0.70/1.40 LUMINA KARSTEN;TOALHAS AVULSA;35.54;78.00;63026000
00006093;COBRE LEITO SOLTEIRO INFANTIL 02 PÇS LICENCIADOAS LEPPER;COBRE LEITO;66.99;138.00;94049000
00003415;SACHETS ESPUMARIA;DIVERSOS;9.40;18.00;33074900
00006160;ROUPAO INFANTIL FLEECE LISO C/ CAPUZ MICROFIBRA LEPPER;ROUPAO;38.18;84.00;62092000
00000438;ROUPAO INFANTIL AVELUDADO  PERSONAGENS LEPPER;ROUPAO;39.51;138.00;62079100
00003074;FRONHA AVULSA 200 FIOS VIDA BELA KACYUMARA;FRONHA;22.37;48.00;63023100
00000893;FRONHA AVULSA 0.50/0.70 300 FIOS SATINEE KACYUMARA;FRONHA;31.08;66.00;63023100
00000347;CAPA ALMOFADA 0.44/0.44 MICROFIBRA KACYUMARA;CAPA;7.82;18.00;63022200
00002233;COBRE LEITO SOLTEIRO 200 FIOS VIDA BELA KACYUMARA;COBRE LEITO;171.31;398.00;63041910
00004402;TAPETE MEMORY 0.50/0.80 ESPUMA DE POLIURETANO ANDREZA;TAPETE;24.35;48.00;57029900
00004339;TAPETE 1.00/1.40 BELGA BUCHARA/ASIA TEX;TAPETE;64.64;159.00;57033000
00005869;PASSADEIRA 0.40 X 1.20 DIVERSAS SAO CARLOS;TAPETE;22.00;48.00;57029100
00006063;TAPETE 0.50/0.80 STUDIO MULTICOLOR ANDREZA;TAPETE;31.20;72.00;57033000
00006064;TAPETE 1.00/1.60 STUDIO MULTICOLOR ANDREZA;TAPETE;129.90;282.00;57033000
00005240;PEL CACHORRO BBL1522S FOFFY;PELUCIA;56.87;139.00;95030031
00001653;PEL URSO SENTADO BBL1200S FOFFY;DIVERSOS;29.68;72.00;95030031
00002465;ALMOFADA 0.24/0.54 RINZERA DIGITAL KACYUMARA;ALMOFADA;22.41;48.00;94049000
00001195;PACOTE PANO PRATO TEKA GOURMET C/06 UNIDADES;PANO DE PRATO;17.74;66.00;63026000
00004894;FRONHA AVULSA INNOVI 150 FIOS KACYUMARA;LENÇOS;10.61;19.50;63022100
00000012;PIJAMA KIDS MASC.FEM.REGATA SHORT /ALCA C/CALCIN E SONHART;PIJAMAS;48.50;128.00;61083100
00000869;PIJAMA ADULTO FEM.REGATA/ALCA/MC/SHORT/ SONHART;PIJAMAS;56.92;195.00;61083100
00005439;FUNDO DE PRATO 0.35/0.50 ACQUABLOCK KARSTEN;DIVERSOS;4.43;12.00;63025100
00001716;TOALHA BANHO PONTO CRUZ GIGANTE MELINA KARSTEN;TOALHAS AVULSA;24.36;98.00;63026000
00006026;TRAVESSEIRO 0.40/1.30 BODY PILLOW VEET;TRAVESSEIROS;49.90;117.00;94049000
00001835;TOALHA MESA 1.60/1.60 NATALINA CLÁSSICA KARSTEN;TOALHA DE MESA;25.51;57.00;63025100
00006113;TOALHA BANHO PONTO CRUZ 0.70/1.40 MELINA KARSTEN;TOALHAS AVULSA;25.22;84.00;63026000
00001005;ROUPAO INFANTIL. G ATOALHADO ESTAMP. PERSONAGENS DISNEY LEPP;ROUPAO;37.75;87.00;62079100
00005047;LENCOL AVULSO CASAL  DIAMANTE 150 FIOS TEKA;LENCOL AVULSO;36.71;84.00;63023100
00001335;FRONHA AVULSA 100 % ALGODAO SORTIDA TEKA;FRONHA;4.48;12.00;63022100
00004590;PROTETOR COLCHAO CASAL MICROFIBRA IMPERMEAVEL HEDRONS;PROTETOR DE COLCHAO;49.89;110.00;94049000
00001123;COBRE LEITO CASAL 03 PCS MICROFIBRA PATCHWORK CAMESA/ANDREZA;COBRE LEITO;51.95;189.00;94049000
00005167;TAPETE SAO CARLOS SHOW 2.00/3.00;TAPETE;796.56;2598.00;57033000
00002419;CORTINA DUPLEX BELLINI 5.40/2.50 VARAO DE 4 MTS BELLA JANELA;CORTINA;137.56;495.00;63039200
00005874;CORTINA JACQUARD MESSINA 2.00/1.80 VARAO 2 MTS DOHLER;CORTINA;79.57;174.00;63039200
00001463;MANTA CASAL ACONCHEGO MICROFIBRA CORTTEX FATEX/ROZAC;MANTA TIPO COBERTOR;22.85;69.00;63014000
00005887;JOGO DE CAMA QUEEN 03 PÇS MALHA FIO 30 DELICATTO LA DOTTA;JOGO DE CAMA;26.60;63.00;63021000
00004249;CORTINA RUSTICA PANTEX 1.70/3.60 V.DE ATÉ 3 MTS BELLA JANELA;CORTINA;57.12;135.00;63039200
00003782;CORTINA DIFFERENT 180X200 BRANIL;CORTINA;166.50;333.00;63039200
00002250;PORTA TRAVESSEIRO DE MALHA MANTA SILICONIZADA VENESA;TRAVESSEIROS;12.97;30.00;63021000
00002691;TAPETE JOLITEX FINA ARTE/DOMO 1.00/1.50;TAPETE;89.97;174.00;57033000
00001139;PEL LEAO/CERVO/LEOPARDO/CACHORRO/URSO/SAPO FOFFY;PELUCIA;12.60;36.00;95030031
00002309;CORTINA P/ BOX PVC 1.80/1.98 KOMLOG BELLA CASA;CORTINA;16.99;59.00;63039200
00000138;TOALHA MESA 1.80 REDONDA RENDA LEPPER;TOALHA DE MESA;23.46;57.00;63025300
00002903;TAPETE SAO CARLOS BALI/MALIBU 0.66/1.80;TAPETE;64.71;165.00;57029200
00006128;PASSADEIRA BALI AVELA  M2 SAO CARLOS;TAPETE;41.20;159.00;57025020
00002735;TOALHA MESA 1.80/1.60/2.20 JACQUARD HOME CLASS XANFER;TOALHA DE MESA;61.26;174.00;63023900
00001159;TOALHA MESA 1.78 REDONDA SEMPRE LIMPA/CELEBRA KARSTEN;TOALHA DE MESA;80.54;156.00;63025100
00005177;TOALHA MESA 0.78/0.78 LIMPA FACIL CLEAN ATHENAS DOHLER;TOALHA DE MESA;5.45;13.50;63025100
00001773;COBRE LEITO QUEEN 03 PÇS MICROFIBRA PATCHWORK CAMESA/ANDREZA;COBRE LEITO;58.51;208.00;94049000
00000207;PISO ATOALHADO TEKA COLORS/BOUTON/DOHLER;PISO ATOALHADO;4.95;13.50;63026000
00005949;TAPETE 0.50/0.80 CROCHE OVAL KACYUMARA;TAPETE;42.11;96.00;57050000
00002284;CAPA PARA COLCHAO SOLTEIRO MALHA ELANCA JULIANA/MORADA;CAPAS;16.00;48.00;63023900
00005518;CAPA ALMOFADA 0.45/0.45 PATCH CLEAN/ARTE ADOMES;CAPA;13.68;30.00;63041990
00001932;JOGO DE CAMA QUEEN 04 PÇS 300 FIOS DAMASK STRIPES BUDDEMEY;JOGO DE CAMA;327.58;687.00;63022100
00000208;CAPA ALMOFADA 0.45/0.45 ACQUARD URBAN ADOMES;CAPA;9.63;21.00;63041990
00002936;LATA PEQUENA SACOLA MEDIA PARA PRESENTE SONHART;DIVERSOS;3.52;7.50;48195000
00003652;TAPETE JOLITEX 0.50/0.70 MICROFIBRA FASCINIO;TAPETE;12.27;25.50;57024200
00002026;FRONHA BODY PILLOW 100% ALGODAO 0.40/1.30 ALTENBURG;FRONHA;12.26;33.00;63022100
00001904;TRAVESSEIRO BODY PILLOW 0.40/1.30 ALTENBURG;TRAVESSEIROS;48.00;105.00;94049000
00001180;COBERTOR KING JOLITEX RASCHEL PELO ESPECIAL;COBERTOR;115.54;398.00;63014000
00001450;LENCOL AVULSO CASAL FIX 180 FIOS TOTAL MIX ARTEX;LENCOL AVULSO;32.08;81.00;63023200
00003935;REFIL PARA DIFUSOR DE VARETAS ESPUMARIA;DIVERSOS;37.20;74.00;33074900
