Codigo;data_nascimento;genereo;cidade;setor;limite
042076;1956-07-28;F;Anápolis;ALEXANDRINA;0.00
040168;0000-00-00;F;Anápolis;MONICA BRAGA;0.00
048519;1951-03-02;F;Anápolis;NOVA VILA;0.00
049656;1974-04-21;F;Anápolis;JAIARA;0.00
057890;1977-01-23;F;Anápolis;ALEXANDRINA;0.00
112374;1981-04-30;F;Anápolis;JARDIM PROGRESSO;0.00
052608;1950-03-20;F;Anápolis;ALEXANDRINA;0.00
041529;1969-04-02;F;Anápolis;ITAMARATY;0.00
112010;1957-06-19;F;Anápolis;PARQUE DAS PRIMAVERA;0.00
117634;1988-05-23;M;Anápolis;JUNDIAI;0.00
117447;1966-04-02;F;Anápolis;ITAMARATY 4ª ETAPA;0.00
116254;1987-04-07;F;Anápolis;RESIDENCIAL FLAMBOYA;0.00
042946;1978-09-22;F;Anápolis;SANTA ISABEL 1ª ETPA;0.00
107346;1989-11-17;F;Anápolis;PARQUE DOS PIRINEUS;0.00
097502;1950-08-16;F;Anápolis;ALEXANDRINA;0.00
117465;1953-03-04;F;Anápolis;JAIARA;0.00
054921;1971-07-28;F;Anápolis;NOSSA SENHORA D`ABAD;0.00
067269;1960-09-04;F;Anápolis;ALEXANDRINA;0.00
038759;1980-01-20;F;Anápolis;ITAMARATY 2 ETAPA;0.00
096717;0000-00-00;F;Anápolis;ALEXANDRINA;0.00
093351;1983-06-02;F;Anápolis;ALDEIA DOS SONHOS;500.00
020877;1961-08-19;F;Anápolis;ALEXANDRINA;0.00
093451;1980-05-09;F;Anápolis;JAIARA;550.00
103132;1975-10-03;F;Anápolis;RESIDENCIAL ARAGUAIA;0.00
092810;1951-03-01;M;Anápolis;MIRRAGE;850.00
042770;1976-06-06;F;Anápolis;JARDIM ALEXANDRINA;0.00
035247;1961-09-28;F;Anápolis;SANTA MARIA DE NAZAR;0.00
116835;1992-04-04;M;Anápolis;CHACARAS COLORADO;0.00
117719;1980-05-29;F;Anápolis;ABADIANIA;0.00
061315;1970-05-10;F;Anápolis;MARACANA;500.00
065221;1963-08-08;F;Anápolis;JAIARA;0.00
013673;1976-01-10;F;Anápolis;ITAMARATY;0.00
048669;1964-04-05;F;Anápolis;BANDEIRAS;0.00
023687;1972-08-07;F;Anápolis;ALEXANDRINA;0.00
046265;1970-12-23;F;Anápolis;JUNDIAI;0.00
013021;1961-09-19;F;Anápolis;JARDIM ALEXANDRINA;0.00
035959;1974-09-17;F;Anápolis;ITAMARATY 4ª ETAPA;0.00
058763;1967-10-30;F;Anápolis;VILA BRASIL;0.00
061249;1977-07-20;F;Anápolis;MIRRAGE;0.00
029054;1954-01-15;F;Anápolis;SAO JORGE;0.00
002646;1948-10-13;F;Anápolis;MARACANA;0.00
041541;0000-00-00;F;Anápolis;ANAPOLIS CITY;0.00
116680;1982-03-25;F;Anápolis;MIRAGE;0.00
098690;1960-11-05;F;Anápolis;CENTRO;0.00
100056;0000-00-00;F;Anápolis;ALEXANIA;0.00
108897;1964-08-16;F;Anápolis;ITAMARATY 4ª ETAPA;0.00
100431;1957-03-23;F;Anápolis;JAIARA;0.00
040326;1949-07-30;F;Anápolis;VILA FORMOSA;0.00
035470;1964-02-15;F;Anápolis;SAO CARLOS;0.00
036653;1976-02-11;F;Anápolis;JAIARA;0.00
092428;1966-08-11;F;Anápolis;MARACANANZINHO;0.00
002579;1963-04-12;F;Anápolis;ALEXANDRINA;0.00
008315;1946-12-06;F;Anápolis;MARACANA;0.00
048794;1980-06-04;F;Anápolis;ITAMARATY 2 ETAPA;0.00
048749;1974-12-27;F;Anápolis;ALEXANDRINA;0.00
059804;1981-04-25;F;Anápolis;JARDIM DAS AMERICAS;0.00
054051;1960-09-30;F;Anápolis;ALEXANDRINA;0.00
054696;1954-10-02;F;Anápolis;MARACANA;0.00
095998;1960-07-30;F;Anápolis;JARDIM PROGRESSO;0.00
036953;1942-03-25;F;Anápolis;SANTA ISABEL 1ª ETPA;0.00
058873;1965-01-05;F;Anápolis;ANAPOLIS CITY;0.00
042954;1971-10-03;F;Anápolis;SAO LOURENCO;0.00
098674;1975-06-29;F;Anápolis;CENTRO ANAPOLIS;0.00
063047;1977-09-24;F;Anápolis;MARACANA;600.00
044664;1952-09-10;F;Anápolis;MARACANA;0.00
052445;1963-08-04;F;Anápolis;JAIARA;800.00
099226;1940-10-05;F;Anápolis;MARACANA;0.00
117394;1995-11-22;F;Anápolis;RESIDENCIAL JARDIM I;0.00
106213;1972-07-05;F;Anápolis;ALEXANDRINA;700.00
061808;1987-03-17;F;Anápolis;FREI EUSTAQUIO;0.00
025831;1960-04-04;F;Anápolis;ALEXANDRINA;0.00
054019;1962-02-10;F;Anápolis;LAS PALMAS;0.00
032614;1963-06-13;F;Anápolis;CAMPO LIMPO;0.00
116638;1981-10-18;F;Anápolis;FLORENÇA;0.00
090295;1961-05-14;F;Anápolis;MINEIROS;300.00
050497;1982-04-28;F;Anápolis;ANEXO ITAMARATY;0.00
097936;1976-03-04;F;Anápolis;PORTAL DO CERRADO;0.00
023597;1961-07-06;F;Anápolis;JAIARA;0.00
037362;1972-01-16;F;Anápolis;BOM SUCESSO;0.00
014014;1960-07-24;F;Anápolis;MARACANA;0.00
108619;0000-00-00;F;Anápolis;PARQUE DOS PIRINEUS;0.00
037226;1977-07-25;F;Anápolis;VILA HARMONIA;0.00
043999;1958-03-18;F;Anápolis;ALEXANDRINA;0.00
039645;1935-01-25;F;Anápolis;CENTRO ANAPOLIS;0.00
066270;1960-11-15;F;Anápolis;CENTRO;0.00
114072;1976-06-19;F;Anápolis;PIRENOPOLIS;0.00
027878;1934-11-18;F;Anápolis;ITAMARATY;0.00
119210;1978-10-18;F;Anápolis;SANTO ANDRE;0.00
049664;1967-06-22;F;Anápolis;ADRIANA PARQUE;0.00
026154;1980-05-25;F;Anápolis;ALEXANDRINA;0.00
107729;2011-08-30;F;Anápolis;BARRO ALTO;0.00
111278;0000-00-00;M;Anápolis;JARDIM DAS AMERICAS;0.00
111819;1983-06-10;F;Anápolis;ITAMARATY 2 ETAPA;0.00
055013;1940-05-31;F;Anápolis;RAUL BALDUINO;0.00
104327;1981-09-22;F;Anápolis;VIANOPOLIS;0.00
107282;1959-08-08;F;Anápolis;JARDIM ALEXANDRINA;0.00
092752;1980-06-16;F;Anápolis;JARDIM AMERICA;0.00
023545;1973-12-28;F;Anápolis;ALEXANDRINA;0.00
095486;1969-01-17;F;Anápolis;BOUGANVILLE;0.00
051389;1973-10-10;F;Anápolis;JARDIM ALEXANDRINA;0.00
103417;1972-04-18;F;Anápolis;RESIDENCIAL VALE DO;0.00
027353;1973-05-21;F;Anápolis;JAIARA;0.00
064330;1963-04-04;F;Anápolis;JARDIM GONCALVES;0.00
027918;1953-08-10;F;Anápolis;MARACANA;0.00
090585;1947-05-16;F;Anápolis;JUNDIAI;0.00
106252;1982-08-31;F;Anápolis;RESIDENCIAL ARAGUAIA;0.00
058662;1943-05-12;F;Anápolis;JAIARA;0.00
117750;1978-12-05;F;Anápolis;VILA BELA;0.00
049833;1959-10-28;F;Anápolis;JARDIM AMERICA;0.00
058568;1960-06-07;F;Anápolis;ALEXANDRINA;0.00
118482;0000-00-00;F;Anápolis;RES ANA CAROLINA;0.00
102313;1972-07-31;F;Anápolis;JARDIM ALEXANDRINA;0.00
110604;1953-04-20;F;Anápolis;MARACANA;0.00
012296;1977-02-13;F;Anápolis;ALEXANDRINA;0.00
107651;1968-09-11;F;Anápolis;JAIARA;0.00
114722;2005-10-14;F;Anápolis;DAIA;0.00
034132;1965-09-04;F;Anápolis;RESIDENCIAL DAS FLOR;0.00
018321;1957-09-20;F;Anápolis;CENTRO ANAPOLIS;400.00
098047;1961-10-22;F;Anápolis;MARACANA;0.00
113842;1988-12-15;F;Anápolis;ALEXANDRINA;0.00
097442;1968-06-04;F;Anápolis;ALEXANDRINA;400.00
041077;1981-07-24;F;Anápolis;VILA GOIS;0.00
030780;1979-07-24;F;Anápolis;ALEXANDRINA;0.00
046821;1971-11-06;F;Anápolis;SANTA ISABEL 2ª ETPA;0.00
049293;1950-04-24;F;Anápolis;BANDEIRAS;0.00
104617;1985-05-13;F;Anápolis;CENTRO;0.00
054887;1963-05-06;F;Anápolis;FILOSTRO;0.00
061864;1984-06-27;F;Anápolis;RESIDENCIAL VALE DO;0.00
010624;1977-10-27;F;Anápolis;ITAMARATY 4ª ETAPA;0.00
051538;1977-07-08;F;Anápolis;SANTA ISABEL 1ª ETPA;0.00
106132;1959-06-17;M;Anápolis;PARQUE IRACEMA;0.00
045282;1954-12-01;F;Anápolis;JUNDIAI;0.00
100478;1970-06-04;F;Anápolis;RECANTO DO SOL;0.00
101534;1979-09-01;F;Anápolis;JUNDIAI INDUSTRIAL;0.00
098825;1980-01-13;F;Anápolis;JAIARA;0.00
115576;1991-10-27;F;Anápolis;RESIDENCIAL VERONA;0.00
118625;1958-08-23;F;Anápolis;NOVA VILA;0.00
112360;1969-05-04;M;Anápolis;ALEXANDRINA;0.00
113106;0000-00-00;F;Anápolis;ALEXANDRINA;0.00
110821;1966-07-18;F;Anápolis;PARQUE DOS PIRINEUS;0.00
000161;1948-06-14;F;Anápolis;ALEXANDRINA;0.00
112913;0000-00-00;F;Anápolis;JAIARA;0.00
117957;1985-10-02;F;Anápolis;SANTA ISABEL 1ª ETPA;500.00
117749;1996-08-24;F;Anápolis;BOM SUCESSO;0.00
040416;1972-09-29;F;Anápolis;ITAMARATY 2 ETAPA;0.00
017628;1954-09-19;F;Anápolis;ITAMARATY;0.00
093258;1965-12-16;F;Anápolis;NOVA VILA;400.00
048801;1951-06-29;F;Anápolis;SANTA MARIA DE NAZAR;0.00
006435;1942-07-03;F;Anápolis;JUNDIAI;0.00
112187;1980-02-05;F;Anápolis;JAIARA;0.00
060016;1950-07-17;F;Anápolis;MARACANA;0.00
097526;1974-01-22;F;Anápolis;ITAMARATY 2 ETAPA;0.00
040307;1972-07-26;F;Anápolis;SANTA ISABEL 2ª ETPA;0.00
094466;1972-07-14;F;Anápolis;ANDRACEL CENTER;0.00
017833;1967-06-28;F;Anápolis;JARDIM DAS AMERICAS;0.00
107111;1981-01-07;F;Anápolis;ANAPOLIS CITY;0.00
060796;1945-02-15;F;Anápolis;JAIARA;0.00
060321;1984-05-05;F;Anápolis;ALEXANDRINA;0.00
026687;1966-03-31;F;Anápolis;ITAMARATY;0.00
049015;1940-06-01;F;Anápolis;ALEXANDRINA;0.00
091059;1981-01-09;F;Anápolis;ALEXANDRINA;0.00
055642;1964-10-03;F;Anápolis;JARDIM PROGRESSO;0.00
100678;1988-12-16;F;Anápolis;VILA NORTE;0.00
027275;1970-04-09;F;Anápolis;JAIARA;0.00
101814;1971-02-25;F;Anápolis;JARDIM PROGRESSO;0.00
093602;1980-12-14;F;Anápolis;ALEXANDRINA;0.00
095620;1952-04-13;F;Anápolis;CENTRO ANAPOLIS;0.00
002888;1961-10-25;F;Anápolis;JARDIM ALEXANDRINA;0.00
119240;1995-03-25;F;Anápolis;RAUL BALDUINO;0.00
112955;1987-11-10;F;Anápolis;CENTRO;800.00
043293;1936-02-03;F;Anápolis;ALEXANDRINA;0.00
094836;1979-01-27;F;Anápolis;VILLA DOS SARGENTOS;0.00
090301;1980-08-24;F;Anápolis;RES ANA CAROLINA;0.00
055645;1960-06-20;F;Anápolis;NOSSA SENHORA D`ABAD;0.00
002708;1947-10-04;F;Anápolis;ALEXANDRINA;0.00
095556;1969-08-06;F;Anápolis;JARDIM DAS AMERICAS;0.00
039853;1979-07-22;F;Anápolis;JK NOVA CAPITAL;0.00
004430;1954-09-20;F;Anápolis;NOSSA SENHORA D`ABAD;0.00
098757;1970-05-05;F;Anápolis;MARACANA;0.00
101793;1970-09-30;F;Anápolis;ITAMARATY 4ª ETAPA;0.00
090612;1967-09-08;F;Anápolis;JAIARA;0.00
097626;1975-07-17;M;Anápolis;MARACANA;500.00
008768;1949-12-16;F;Anápolis;CENTRO ANAPOLIS;0.00
023514;1960-07-10;F;Anápolis;ALEXANDRINA;0.00
101783;1981-08-31;F;Anápolis;BOM SUCESSO;0.00
063043;1985-10-19;F;Anápolis;CENTRO ANAPOLIS;0.00
097660;1968-10-12;F;Anápolis;ANTONIO FERNANDES;0.00
119157;1976-03-06;M;Anápolis;MARACANA;0.00
057541;1976-05-29;F;Anápolis;CENTRO ANAPOLIS;0.00
114851;1995-05-29;F;Anápolis;ADRIANA PARQUE;0.00
105464;1978-08-03;F;Anápolis;CIDADE JARDIM;0.00
067351;1983-04-22;F;Anápolis;MARACANA;0.00
100409;1966-08-08;F;Anápolis;MARACANA;0.00
010977;1960-10-11;F;Anápolis;VILA BRASIL;0.00
094320;1962-12-14;F;Anápolis;ALEXANDRINA;0.00
100996;1962-10-27;F;Anápolis;SANTA PAULA;0.00
047790;1965-09-15;F;Anápolis;ALEXANDRINA;0.00
090414;1963-05-03;F;Anápolis;PARQUE BRASILIA;0.00
111052;1993-10-05;F;Anápolis;JAIARA;400.00
065140;1965-12-29;F;Anápolis;PARQUE BRASILIA;0.00
118277;1996-07-06;F;Anápolis;BOA VISTA;0.00
112701;1952-09-02;F;Anápolis;SAO CONRADO PARQUE;0.00
096219;1929-01-18;F;Anápolis;JAIARA;0.00
106362;1963-05-29;F;Anápolis;JAIARA;0.00
063164;1970-05-18;F;Anápolis;JAIARA;0.00
049794;1976-03-05;F;Anápolis;NOSSA SENHORA D`ABAD;0.00
031418;1977-03-20;F;Anápolis;ALEXANDRINA;0.00
119201;1992-08-18;F;Anápolis;PARQUE DAS NACOES;0.00
059575;1982-12-07;F;Anápolis;JUNDIAI INDUSTRIAL;0.00
040320;1955-12-30;F;Anápolis;CENTRO;0.00
053023;1972-01-25;F;Anápolis;MARACANA;0.00
093954;1975-03-23;F;Anápolis;VILLA DOS SARGENTOS;0.00
096574;1972-08-28;F;Anápolis;SAO CARLOS;0.00
103225;1983-02-21;F;Anápolis;JAIARA;0.00
046192;1975-05-06;F;Anápolis;JARDIM PROGRESSO;0.00
090384;1955-05-12;F;Anápolis;JAIARA;0.00
014425;1940-07-03;F;Anápolis;ALEXANDRINA;0.00
096931;1973-11-02;F;Anápolis;MARACANA;0.00
062438;1982-01-05;F;Anápolis;CENTRO;0.00
059241;1963-09-04;F;Anápolis;ALEXANDRINA;0.00
060317;1978-09-21;F;Anápolis;ALEXANDRINA;0.00
032233;1956-03-26;F;Anápolis;JAIARA;0.00
009208;1952-11-23;F;Anápolis;JARDIM AMERICA;1200.00
047619;1955-08-08;F;Anápolis;MARACANA;0.00
051737;0000-00-00;F;Anápolis;PARQUE DOS PIRINEUS;0.00
095068;0000-00-00;F;Anápolis;JUNDIAI INDUSTRIAL;0.00
043806;1963-10-18;F;Anápolis;ITAMARATY;0.00
106424;1985-04-04;F;Anápolis;MARACANA;0.00
032892;1959-05-09;F;Anápolis;MARACANA;0.00
005033;1953-11-17;F;Anápolis;ALEXANDRINA;0.00
048258;1945-10-03;F;Anápolis;CONJUNTO VILLAGE JAR;0.00
112943;1952-06-26;F;Anápolis;CENTRO;0.00
036823;1958-10-25;F;Anápolis;VILA GOIS;0.00
026715;1945-02-16;F;Anápolis;ALEXANDRINA;0.00
090786;1967-05-22;F;Anápolis;PARQUE DOS PIRINEUS;0.00
057848;1978-09-16;F;Anápolis;VILA GOIS;0.00
041095;1959-05-01;F;Anápolis;JUNDIAI;400.00
043469;1971-09-13;F;Anápolis;MARACANA;0.00
094250;1974-02-04;F;Anápolis;ALEXANDRINA;0.00
094055;1963-10-15;F;Anápolis;MIRANAPOLIS (PERTO D;0.00
102925;1990-05-11;F;Anápolis;ALEXANDRINA;0.00
034227;1970-08-01;F;Anápolis;SAO JORGE;0.00
050764;1958-01-13;F;Anápolis;NACOES UNIDAS;0.00
111722;1981-03-20;M;Anápolis;COPACABANA;0.00
014441;1966-06-15;F;Anápolis;ALEXANDRINA;0.00
059592;1957-02-13;F;Anápolis;ALEXANDRINA;0.00
054973;1958-02-25;F;Anápolis;MARACANA;250.00
112769;1967-04-17;F;Anápolis;RESIDENCIAL VENEZA (;400.00
045710;1972-07-16;F;Anápolis;ITAMARATY;50.00
060971;1977-11-21;F;Anápolis;RESIDENCIAL VERONA;0.00
061208;1974-12-11;F;Anápolis;ANTONIO FERNANDES;0.00
094001;1967-10-17;F;Anápolis;CENTRO;100.00
114743;1991-10-26;F;Anápolis;ALEXANDRINA;0.00
040807;1935-10-17;F;Anápolis;INTERLANDIA;0.00
057669;1949-09-16;F;Anápolis;INTERLANDIA;0.00
055212;1979-10-13;F;Anápolis;PARQUE IRACEMA;0.00
068058;1971-05-11;F;Anápolis;ALEXANDRINA;0.00
094223;1975-06-27;F;Anápolis;ALDEIA DOS SONHOS;800.00
104183;1953-03-21;F;Anápolis;FREI EUSTAQUIO;0.00
090517;1972-09-07;F;Anápolis;PARQUE IRACEMA;0.00
098620;1938-10-16;F;Anápolis;MARACANA;0.00
092283;1977-09-05;F;Anápolis;ALEXANDRINA;0.00
094753;1984-04-06;F;Anápolis;NOSSA SENHORA D`ABAD;0.00
106748;1978-06-15;F;Anápolis;BOM SUCESSO;0.00
112809;1982-05-26;F;Anápolis;MARACANA;0.00
100563;1961-09-26;F;Anápolis;JAIARA;0.00
057318;1948-08-13;F;Anápolis;ADRIANA PARQUE;0.00
092569;1978-03-02;F;Anápolis;SANTO ANDRE;0.00
092205;1987-08-12;F;Anápolis;ITAMARATY;0.00
093091;1969-04-23;F;Anápolis;MONICA BRAGA;900.00
110995;1987-03-27;F;Anápolis;ITAMARATY 4ª ETAPA;0.00
006620;1954-06-02;F;Anápolis;CENTRO ANAPOLIS;0.00
117599;1946-09-10;F;Anápolis;SAO JOAQUIM;400.00
023937;1951-09-04;F;Anápolis;MARACANA;0.00
038345;1974-09-22;F;Anápolis;JAIARA;0.00
103361;1977-12-12;F;Anápolis;CENTRO;0.00
034331;1980-01-08;F;Anápolis;ANTONIO FERNANDES;0.00
115005;1966-06-04;F;Anápolis;JARDIM ALEXANDRINA;0.00
045286;1955-11-27;F;Anápolis;JAIARA;0.00
101895;1981-05-22;F;Anápolis;ALEXANDRINA;0.00
109912;1971-05-04;M;Anápolis;PARQUE MICHEL;0.00
106192;1960-11-17;F;Anápolis;ALEXANDRINA;0.00
118124;1998-09-27;F;Anápolis;RESIDENIAL TEREZINHA;0.00
112964;1994-06-01;F;Anápolis;ALDEIA DOS SONHOS;0.00
094178;1981-09-26;F;Anápolis;ADRIANA PARQUE;0.00
108076;1963-01-02;F;Anápolis;BANDEIRAS;0.00
091384;1949-06-22;F;Anápolis;SAO JORGE;0.00
114032;1980-08-16;F;Anápolis;JUNDIAI INDUSTRIAL;0.00
091784;1962-11-25;F;Anápolis;ITAMARAY 3A ETAPA;0.00
022007;1955-03-10;F;Anápolis;ITAMARATY;0.00
108285;1986-10-02;F;Anápolis;JARDIM ALEXANDRINA;0.00
110266;1987-08-10;F;Anápolis;PARQUE DOS PIRINEUS;200.00
091878;1964-10-03;F;Anápolis;TROPICAL;0.00
104460;1986-08-29;F;Anápolis;ADRIANA PARQUE;0.00
098795;1957-04-23;F;Anápolis;JAIARA;0.00
049109;1974-04-07;F;Anápolis;JUNDIAI;700.00
032539;1962-09-29;F;Anápolis;BOA VISTA;0.00
042313;1948-02-03;F;Anápolis;PARQUE DOS PIRINEUS;0.00
116647;1988-09-13;F;Anápolis;JAIARA;0.00
095977;1964-11-14;F;Anápolis;JUNDIAI;0.00
046010;1964-08-02;F;Anápolis;MARACANA;0.00
091927;1966-06-23;F;Anápolis;SAO JORGE;0.00
033980;1937-08-04;F;Anápolis;ITAMARATY 2 ETAPA;0.00
043573;1984-09-06;F;Anápolis;PROGRESSO;0.00
116582;0000-00-00;F;Anápolis;VILAGE;0.00
101275;1969-11-14;F;Anápolis;LAGO DOS BURITIS;0.00
097546;1976-10-18;F;Anápolis;JAIARA;200.00
002645;1936-05-03;F;Anápolis;BOA VISTA;0.00
094379;1960-01-12;F;Anápolis;BOA VISTA;0.00
004925;1973-03-26;F;Anápolis;ALEXANDRINA;0.00
110370;1992-08-20;F;Anápolis;RECANTO DO SOL;0.00
067820;1974-12-11;F;Anápolis;JAIARA;0.00
052087;1965-07-02;F;Anápolis;ANAPOLIS CITY 2ª ETP;0.00
120183;1987-09-14;F;Anápolis;RESIDENCIAL FLAMBOYA;1350.00
103968;1961-06-19;F;Anápolis;JARDIM ALEXANDRINA;0.00
015161;1960-09-25;F;Anápolis;ANEXO FREI EUSTAQUIO;0.00
098489;1973-03-04;F;Anápolis;MONICA BRAGA;0.00
054063;1968-03-20;F;Anápolis;JARDIM DAS AMERICAS;0.00
107238;1974-06-26;F;Anápolis;ITAMARATY 2 ETAPA;0.00
023079;1964-12-22;F;Anápolis;ALEXANDRINA;800.00
114150;1977-12-17;F;Anápolis;ADRIANA PARQUE;0.00
116293;1994-11-05;F;Anápolis;PARQUE BRASILIA 2 ET;0.00
040213;1966-09-09;F;Anápolis;PARQUE BRASILIA;0.00
110996;1979-05-06;F;Anápolis;RESIDENCIAL PORTAL D;0.00
090736;1965-12-14;F;Anápolis;JAIARA;0.00
005841;1955-09-14;F;Anápolis;ALEXANDRINA;0.00
120602;1983-01-21;F;Anápolis;;0.00
058556;1960-04-28;F;Anápolis;ALEXANDRINA;0.00
110644;1958-09-02;F;Anápolis;ITAMARATY;0.00
014340;1956-03-30;F;Anápolis;CENTRO;0.00
118219;1960-03-15;F;Anápolis;PARQUE BRASILIA;0.00
016125;1946-04-24;F;Anápolis;ALEXANDRINA;0.00
067590;1966-04-27;F;Anápolis;MARACANA;0.00
100412;1988-10-14;F;Anápolis;SETOR SUL JAMIL MIGU;0.00
108833;1967-09-07;F;Anápolis;NOVA VILA;0.00
095199;0000-00-00;F;Anápolis;MARACANANZINHO;0.00
045681;1973-10-17;F;Anápolis;JARDIM DAS AMERICAS;0.00
091313;1964-06-04;F;Anápolis;ANA PAULA;0.00
107650;1972-12-02;F;Anápolis;MARACANA;0.00
056827;1977-06-19;F;Anápolis;CH.RECREIO AMERICANO;0.00
105367;1984-03-22;F;Anápolis; SITIO DE RECREIO DE;0.00
113912;1961-05-20;F;Anápolis;CENTRO;0.00
036456;1956-10-15;F;Anápolis;ANAPOLIS CITY;0.00
111316;1973-01-15;F;Anápolis;CENTRO;2000.00
094312;1979-01-08;F;Anápolis;LAS PALMAS;0.00
039391;1977-01-28;F;Anápolis;JUNDIAI;0.00
043218;1959-11-23;F;Anápolis;JK NOVA CAPITAL;0.00
048940;1962-04-07;F;Anápolis;ALEXANDRINA;0.00
007805;1956-02-20;F;Anápolis;JUNDIAI;0.00
066028;1970-07-22;F;Anápolis;BANDEIRAS;0.00
098498;1953-02-10;F;Anápolis;ITAMARATY 2 ETAPA;300.00
106423;1982-04-10;F;Anápolis;BOM SUCESSO;0.00
104036;1989-02-17;F;Anápolis;PARQUE MICHEL;0.00
053596;1977-05-07;F;Anápolis;JARANAPOLIS;0.00
045227;1969-05-06;F;Anápolis;BOA VISTA;0.00
092687;1969-04-23;F;Anápolis;RES ANA CAROLINA;0.00
001312;1960-03-30;F;Anápolis;IGREJINHA;0.00
037439;1960-01-01;F;Anápolis;CENTRO;0.00
020480;1970-04-17;F;Anápolis;JAIARA;0.00
053620;1981-12-02;F;Anápolis;ANTONIO FERNANDES;0.00
101786;1970-03-15;M;Anápolis;ALEXANDRINA;0.00
094002;1981-01-27;F;Anápolis;ITAMARATY 2 ETAPA;0.00
029115;1975-08-01;F;Anápolis;PARQUE BRASILIA;0.00
106477;1973-04-18;F;Anápolis;MARACANA;300.00
099292;1986-10-09;F;Anápolis;ITAMARATY;0.00
042071;1973-08-30;F;Anápolis;CAMPO LIMPO;0.00
180025;1960-09-30;F;Anápolis;SANTA MARIA DE NAZARETH;0.00
